,category,title,date,content,sources
0,rice,"GIÁ TRỊ XUẤT KHẨU GẠO 9 THÁNG ĐẦU NĂM 2013 GIẢM 16,7%",04 | 10 | 2013,"Giá gạo XK tiếp tục giảm, giá trung bình 8 tháng đầu năm 2013 đạt 438,55 USD/tấn, giảm 14,36 USD/tấn so với cùng kỳ năm 2012. Trung Quốc vẫn là thị trường XK gạo lớn nhất của Việt Nam.
  Khối lượng gạo XK sang thị trường này trong 8 tháng đầu năm tăng trưởng mạnh, đạt trên 1,62 triệu tấn với giá trị đạt 671,61 triệu USD, chiếm 31,4% tổng kim ngạch XK. So với cùng kỳ năm ngoái, khối lượng và giá trị XK gạo sang thị trường Trung Quốc tăng lần lượt là 3,2% và 1,0%.
  Theo Hiệp hội Lương thực Việt Nam (VFA), mặc dù suốt 9 tháng qua, lượng gạo XK nói chung giảm cả về lượng và giá, duy chỉ có lượng gạo thơm XK tăng, giá ổn định hơn so với các loại gạo khác. Giá gạo thơm ổn định ở mức 530-550 USD/tấn, còn giá các loại gạo trắng giảm mạnh, gạo 5% tấm chỉ còn 360-370 USD/tấn, gạo 25% tấm còn 325-335 USD/tấn, tấm 320-330 USD/tấn (tính đến ngày 13-9).
  Ưu thế lớn nhất làm gia tăng mạnh lượng gạo thơm XK là giá gạo thơm Việt Nam hiện chỉ bằng khoảng một nửa giá thế giới. Bởi vậy, VFA khuyến cáo, trong lúc giá gạo thơm Thái Lan vẫn đang ở mức cao, các doanh nghiệp cần đẩy mạnh việc XK gạo thơm để chớp lấy thời cơ chiếm lĩnh thị trường gạo thơm ở châu Á, châu Âu và nhất là châu Phi.
  Bởi hiện tại, châu Phi đã trở thành một trong những thị trường XK gạo chủ lực của Việt Nam, chiếm bình quân 15-20% tổng sản lượng gạo XK hàng năm của Việt Nam.
  Nguồn: MARD
 ",https://agro.gov.vn/vn/tID23406_-Gia-tri-xuat-khau-gao-9-thang-dau-nam-2013-giam-167.html
1,rice,PHILIPPINE: NFA XUẤT GẠO CHẤT LƯỢNG CAO Ở NHỮNG THỊ TRƯỜNG LỚN ĐỂ KIỂM SOÁT GIÁ,22 | 07 | 2013,"Đây là đợt bổ sung, bên cạnh việc vẫn thường xuyên báo gạo chất lượng trung bình với giá 27 peso/kg (khoảng 620 USD/tấn) trên toàn quốc.
  Ở Philippine tháng 7-9 là giao thời giữa 2 vụ (giáp hạt), cũng là giai đoạn mưa bão và thời tiết xấu, thường khiến giá gạo gia tăng.
  Hiện NFA có khoảng 693.000 tấn gạo dự trữ tương đương khoảng 28% tổng lượng dự trữ (khoảng 2,4 triệu tấn) trên toàn quốc. Dự trữ gạo ở nước này hiện đủ dùng trong khoảng 71 ngày, cho tới cuối giai đoạn giáp hạt.
  (T.H – Oryza)",https://agro.gov.vn/vn/tID23319_-Philippine-NFA-xuat-gao-chat-luong-cao-o-nhung-thi-truong-lon-de-kiem-soat-gia.html
2,rice,"GẠO THÁI “XẢ” KHO, GẠO VIỆT LO LẮNG",16 | 07 | 2013," Không ảnh hưởng vì giá... thấp nhất ?
Trao đổi với PV Thanh Niên, ông Nguyễn Trung Kiên, Phó chủ tịch Hiệp hội Lương thực Việt Nam (VFA), cho biết theo thông tin mới nhất thì Chính phủ Thái Lan đã tiếp tục gia hạn chương trình hỗ trợ giá mua tạm trữ gạo. Cụ thể, sau khi có thông tin giảm giá mua gạo tạm trữ từ 15.000 baht/tấn xuống 12.000 baht/tấn, mới đây, Ủy ban Chính sách gạo Quốc gia Thái Lan (NRPC) quyết định tiếp tục mua gạo ở 15.000 baht/tấn cho giá lúa tẻ thường đến 15.9, riêng tại miền Nam, khu vực trồng lúa lớn nhất Thái Lan, mức giá trên được giữ nguyên cho đến hết 30.11. Ông Kiên nói: “Việc giảm giá mua tạm trữ với việc xuất khẩu (XK) gạo là hai việc khác nhau. Theo thông tin tôi có được thì phía Thái Lan sẽ không giảm giá XK vì với lượng gạo dự trữ hiện nay, nếu giảm giá XK họ sẽ bị thiệt hại khoảng 9 tỉ USD”.
Cùng nhận định trên, ông Nguyễn Đình Bích, Phó ban Nghiên cứu chiến lược phát triển thương mại (Viện Nghiên cứu thương mại, Bộ Công thương), cho rằng việc Thái Lan giữ nguyên hay giảm giá thu mua tạm trữ gạo đều không tác động nhiều tới tình hình XK gạo của VN. Bởi hiện nay, giá gạo XK nước ta vẫn thấp hơn của Thái Lan rất nhiều. Ông Bích nói: “Lâu nay, giá gạo XK của VN luôn ở mức thấp hơn nhiều so với giá XK của các nước khác như Ấn Độ, Thái Lan, Pakistan... Nếu Thái Lan có giảm giá thì cũng khó có thể hạ giá xuống mức cạnh tranh được với gạo VN. Theo tôi, Ấn Độ và Pakistan mới đáng lo trước, vì giá gạo của họ tương đương Thái Lan”.
 
Xuất khẩu gạo tại cảng Hiệp Phước - Nhà Bè, TP.HCM. Ảnh: D.Đ.Minh
  Đẩy mạnh mua tạm trữ
Thực tế, từ đầu năm đến nay thị trường lúa gạo thế giới đang chịu cảnh giảm giá. Là nước XK gạo đứng thứ 2 thế giới, nông dân và doanh nghiệp VN cũng phải chịu thua lỗ nặng nề. Thống kê 6 tháng đầu năm, XK gạo VN đạt khoảng 3,5 triệu tấn, giá gạo XK giảm liên tục từ mức 410 USD/tấn loại 5% tấm vào đầu tháng 1 xuống còn 365 USD/ tấn hiện nay. Như vậy, mỗi tấn gạo giảm 45 USD. Hơn nữa, giá gạo của nước ta đã tách ra khỏi mặt bằng giá gạo thế giới và trở thành nguồn cung cấp rẻ nhất. Theo Hiệp hội Lương thực VN (VFA), so với cùng kỳ năm 2012, nửa đầu năm nay, XK gạo tăng 2,55% về số lượng nhưng lại giảm 2,04% về kim ngạch do giá giảm.
Trước thực trạng nguồn cung quá lớn và dự báo Thái Lan chuẩn bị xả hàng, VFA vừa hạ mục tiêu XK gạo năm nay từ 8 triệu tấn xuống còn 7,5 triệu tấn. Theo kế hoạch, VN sẽ xuất 2,2 triệu tấn gạo trong quý 3 và 1,8 triệu tấn trong quý 4/2013.
Trong bối cảnh thị trường thế giới người bán nhiều hơn người mua vào tháng 7 và tháng 8, ông Trương Thanh Phong, Chủ tịch VFA cho biết: “Doanh nghiệp sẽ chấp nhận giảm giá và tăng tốc XK để kích giá trong nước tăng lên. Với giải pháp này, doanh nghiệp tiếp tục chịu lỗ nhưng sẽ tạo được sự luân chuyển lúa gạo trên thị trường, nhằm trước hết là không để giá giảm thêm nữa thay vì để nằm trong kho chờ giá lên. Thời điểm này chưa nên đặt vấn đề lời 30% hay không mà là làm sao bán được lúa gạo. Vì vậy, để giữ được giá lúa gạo không giảm mạnh, việc mua tạm trữ phải thật sự rốt ráo nhằm kích hoạt thị trường, cộng với việc đẩy mạnh XK sẽ giúp giá cả ở mức chấp nhận được. Chính phủ cũng khuyến khích doanh nghiệp mua tạm trữ càng nhanh càng được hưởng hỗ trợ giá. Thời gian hỗ trợ lãi suất chỉ có 3 tháng cố định, nếu mua càng sớm sẽ được hưởng đủ 3 tháng, mua chậm thời gian hỗ trợ sẽ giảm xuống”.
Tuy nhiên, theo ông Nguyễn Đình Bích, cũng cần nhìn lại chính vì một thời gian dài, gạo VN nằm ở giá thấp đã dẫn tới việc tự đánh mất sức cạnh tranh của mình, bởi lẽ các đối tác mua gạo của VN đã quen với mức giá thấp và không chấp nhận việc tăng giá. Từ đó dẫn đến chuyện gạo VN xuất nhiều nhưng giá trị không cao.
  Mở rộng thị trường xuất khẩu
Ông Trương Thanh Phong dự báo: “Nếu chúng ta giữ được giá lúa gạo trong nước không xuống quá thấp đến hết tháng 7 có thể nói là thành công. Vì thời điểm đó trở đi thị trường gạo thế giới bắt đầu nhộn nhịp trở lại, không loại trừ một số nước nhập khẩu truyền thống ở khu vực Đông Nam Á như Indonesia, Malaysia sẽ mua gạo trở lại. Các quốc gia châu Phi cũng được dự báo năm 2013 sẽ nhập khẩu gạo nhiều hơn 2012. Thị trường này nhập khẩu mỗi năm 6,4 - 6,5 triệu tấn gạo các loại. Do vậy, VFA cho biết sẽ tìm cách mở rộng thêm thị trường từ châu Phi, thay vì giới hạn một số nước để tăng thêm lượng gạo XK”.
Lê Đình Tuyển",https://agro.gov.vn/vn/tID23315_Gao-Thai-xa-kho-gao-Viet-lo-lang.html
3,rice,TỔNG HỢP TIN THỊ TRƯỜNG GẠO THẾ GIỚI NGÀY 9/8,09 | 08 | 2013,"  Giá gạo thế giới ngày 9/8
  Nguồn: Oryza

Sản lượng lúa gạo Philippines nửa đầu năm 2013 tăng 1,4%

Mặc dù sản lượng lúa gạo giảm trong quý II năm nay, sản lượng nửa đầu năm 2013 của Philippines vẫn đạt khoảng 8 triệu tấn, tăng khoảng 1,4% so với 7,89 triệu tấn sản xuất trong cùng kỳ năm ngoái. Con số này cũng cao hơn mục tiêu 7,9 triệu tấn mà chính phủ đề ra trước đó.

Theo Bộ trưởng Nông nghiệp Salvador Salacup, sản lượng lúa gạo trong quý II/2013 (tháng 4-tháng 6) giảm 2% so với cùng kỳ năm 2012 xuống khoảng 3,83 triệu tấn, nhưng vẫn cao hơn khoảng 5% so với mục tiêu chính thức khoảng 3,63 triệu tấn. Sản lượng lúa gạo Philippines quý II thường thấp hơn so với quý I do thời tiết thiếu ổn định.

Theo mục tiêu tự túc gạo, chính phủ Philippines đặt kế hoạch tổng sản lượng lúa năm 2013 đạt khoảng 20 triệu tấn, tăng khoảng 11% so với khoảng 18 triệu tấn năm 2012.

USDA giảm xuất khẩu gạo ước tính của Argentina xuống 500.000 tấn

Xuất khẩu gạo của Argentina trong năm 2012-2013 (tháng 4/2012-3/2013) dự kiến giảm xuống còn khoảng 500.000 tấn, giảm khoảng 16% so với các năm trước đó, và giảm khoảng 20% so với ước tính chính thức USDA khoảng 625.000 tấn, theo báo cáo của Bộ Nông nghiệp Mỹ (USDA.)

Báo cáo cho rằng gạo Argentina có thể kém cạnh tranh trong thị trường xuất khẩu năm nay do chi phí sản xuất tăng cao và sản lượng thấp hơn. Sản lượng lúa gạo của Argentina trong năm 2012-2013 ước đạt 910.000 tấn, giảm khoảng 9% so với năm trước.

Trước đó, USDA dự báo sản lượng lúa gạo của Argentina trong năm 2013-2014 đạt khoảng 975.000 tấn, và xuất khẩu khoảng 550.000 tấn.
 ",https://agro.gov.vn/vn/tID23358_Tong-hop-tin-thi-truong-gao-the-gioi-ngay-98.html
4,rice,XUẤT KHẨU GẠO SANG CÁC THỊ TRƯỜNG 6 THÁNG ĐẦU NĂM GIẢM GẦN 10% VỀ KIM NGẠCH,29 | 07 | 2013,"Xuất khẩu gạo trong tháng 6 bị sụt giảm ở hầu hết các thị trường. Trong đó, xuất sang Trung Quốc – thị trường lớn nhất cũng bị giảm gần 29% cả về lượng và kim ngạch so với tháng trước (đạt 162.528 tấn, trị giá 65,46 triệu USD), nhưng tính chung cả 6 tháng đầu năm xuất khẩu gạo sang thị trường này vẫn tăng 20% về lượng và tăng 16,75% về kim ngạch.
Thị trường Philippines sau đợt tăng mạnh gấp 15 – 16 lần cả về lượng và kim ngạch trong tháng 5, thì sang tháng 6 lại sụt giảm mạnh trên 40% cả về lượng và kim ngạch. Cộng dồn cả 6 tháng kim ngạch xuất khẩu sang Philippines cũng sụt giảm 44,53% về lượng và giảm 42,26% về kim ngạch (đạt 293.791 tấn, trị giá 131,51 triệu USD).
Riêng xuất khẩu sang Bờ biển Ngà tháng 6 có sự tăng trưởng đột biến trên 200% so với tháng 5 (tháng 5 sụt giảm mạnh trên 60% về lượng và giảm trên 50% về kim ngạch). Tính chung cả 6 tháng xuất khẩu sang thị trường này vẫn giảm nhẹ 0,72% về lượng và 2,13% so với cùng kỳ (đạt 210.657 tấn, trị giá 89,03 triệu USD).    
Nhìn chung trong 6 tháng đầu năm, thị trường xuất khẩu gạo diễn biến phức tạp và có sự thay đổi rõ nét. Thị trường truyền thống với các hợp đồng tập trung giảm mạnh và được thay thế bằng các hợp đồng thương mại từ các thị trường khác. Hiện châu Á vẫn chiếm thị phần lớn nhất 61,95%, giảm 6,60 %; kế đến là châu Phi chiếm 23,74% tăng 1,32%. Tiếp theo là các thị trường châu Mỹ, châu Âu và các thị trường khác.
Xuất khẩu gạo sang các thị trường 6 tháng đầu năm 2013
    Thị trường
T6/2013
T6/2013 so với T5/2013
6T/2013
6T/2013 so với 6T/2012
Lượng (tấn)
Trị giá (USD)
Lượng (%)
Trị giá (%)
Lượng (tấn)
Trị giá (USD)
Lượng (%)
Trị giá (%)
Tổng cộng
643.256
277.135.274
-8,71
-11,50
3.583.196
1.582.262.108
-6,20
-9,59
Trung Quốc
162.528
65.464.959
-28,32
-28,89
1.293.885
536.463.059
+20,02
+16,75
Philippines
82.225
37.140.920
-40,92
-41,96
293.791
131.508.125
-44,53
-42,26
Malaysia
35.064
18.307.802
-26,49
-25,82
195.285
103.395.485
-40,48
-41,19
Bờ biển Ngà
92.586
38.489.794
+255,09
+217,81
210.657
89.029.968
-0,72
-2,13
Singapore
22.766
10.344.677
-7,95
-13,57
168.943
77.107.713
+48,91
+37,02
Gana
61.653
27.968.441
+74,87
+70,04
162.402
76.667.326
+12,97
+11,59
Hồng Kông
13.429
8.046.394
-9,52
-7,79
104.523
57.995.924
+30,84
+22,73
Indonesia
4.698
1.948.062
-24,13
-39,88
78.991
45.405.897
-73,28
-71,34
Angola
10.620
4.162.913
-36,24
-36,91
94.187
38.251.832
+43,35
+30,46
Angieri
8.115
3.255.970
+43,12
+31,00
54.864
23.570.077
-0,03
-6,41
Nga
11.703
5.155.026
+63,59
+56,46
39.830
17.998.084
+659,53
+612,75
Hoa Kỳ
3.870
2.108.196
-1,12
-5,51
30.007
15.811.220
+163,17
+122,44
Đông Timo
3.225
1.236.563
-77,09
-76,75
39.947
15.421.453
+78,30
+60,14
Đài Loan
2.798
1.456.687
-60,94
-63,36
31.378
15.229.290
-53,99
-51,52
Senegal
500
231.500
-95,11
-93,97
37.134
13.817.102
-75,95
-75,34
Nam Phi
5.450
2.433.675
+142,22
+147,86
18.971
8.613.449
+24,68
+19,04
Bỉ
3.003
1.288.622
-34,30
-25,66
21.526
8.020.279
+19,05
+8,81
Chi Lê
4.767
1.880.754
+4,54
-2,14
14.757
6.056.573
+676,68
+614,01
Hà Lan
2.466
1.069.939
-32,66
-30,17
13.644
5.828.851
+561,69
+373,43
Tiểu vương Quốc Ả Rập thống nhất
1.343
831.494
-13,91
-19,40
6.565
4.324.373
+49,95
+64,40
Ucraina
2.838
1.183.183
+37,10
+42,59
8.732
3.714.035
+341,90
+246,42
Brunei
1.380
708.850
0,00
-2,79
6.900
3.705.150
+3,17
-3,02
Australia
880
569.906
+39,02
+42,06
3.350
2.235.504
+52,41
+40,14
Thổ Nhĩ Kỳ
575
292.675
-46,51
-42,40
4.013
1.895.525
+150,81
+176,29
Ba Lan
1.008
403.200
+27,27
+32,23
2.640
1.103.680
+227,95
+128,24
Pháp
342
182.310
+627,66
+287,61
1.534
876.281
+61,30
+30,21
Tây BanNha
723
299.390
+175,95
+155,81
1.276
559.910
+20,83
-6,64
Italia
150
66.450
-14,29
-16,94
987
468.708
+19,64
+3,25
Giá gạo xuất khẩu đã giảm liên tục trong 6 tháng đầu năm 2013, từ mức 410 USD/tấn loại 5% tấm vào đầu tháng 1 xuống còn 365 USD/ tấn hiện nay. Đặc biệt, giá gạo của Việt Nam đã tách ra khỏi mặt bằng giá gạo thế giới và trở thành nguồn cung cấp rẻ nhất. Nhưng từ đầu tháng 7 đến nay, giá gạo trắng xuất khẩu các loại không những đã ngưng suy giảm mà còn tăng nhanh trở lại. Trong đó, ấn tượng nhất là gạo chất lượng cao. Đến ngày 16/7, giá gạo 5% tấm đã tăng lên tới mức 385-395 USD/tấn, cao hơn hồi cuối tháng 6 tới 25 USD/tấn. Sở dĩ giá gạo chất lượng cao tăng nhanh trở lại, là nhờ các khách hàng từ Trung Quốc và châu Phi đã quay trở lại hỏi mua gạo Việt Nam và chủ yếu hỏi mua gạo chất lượng cao, khi mà giá gạo cùng loại của Thái Lan vẫn đang ở mức khá cao.
Giá tăng mạnh nhất trong thời gian qua lại là gạo thơm. Hồi tháng 6, giá gạo thơm Việt Nam đã giảm xuống mức thấp nhất trong nhiều năm qua, và xuống dưới mốc 500 USD/tấn, khi chỉ còn được chào mua ở mức 475-485 USD/tấn vào ngày 21/6. Mức giá này chỉ cao hơn 1 chút so với gạo… 5% tấm của Pakistan (giá ngày 21/6 là 455-465 USD/tấn) và chỉ ngang với gạo 5% tấm của Thái Lan cũng trong ngày hôm ấy. Nhưng chỉ ít ngày sau đó, gạo thơm Việt Nam bắt đầu tăng giá trở lại. Đến cuối tháng 6, đã vượt lên trên mốc 500 USD/tấn để đứng ở mức 515-525 USD/tấn. Sang tháng 7, giá gạo thơm tiếp tục tăng lên và hiện đã ở mức 540-550 USD/tấn.
Trước áp lực nguồn cung dồi dào từ Thái Lan, Hiệp hội lương thực Việt Nam (VFA) cho biết sẽ hạ mục tiêu xuất khẩu gạo năm 2013 từ 8 triệu tấn xuống còn 7,5 triệu tấn;trong đó, quý 3 dự kiến xuất khẩu 2,2 triệu tấn, quý 4 xuất 1,8 triệu tấn
 ",https://agro.gov.vn/vn/tID23332_-Xuat-khau-gao-sang-cac-thi-truong-6-thang-dau-nam-giam-gan-10-ve-kim-ngach.html
5,rice,GIÁ GẠO XUẤT KHẨU TĂNG NHẸ,09 | 08 | 2013,"Theo trung tâm Thông tin phát triển nông nghiệp nông thôn, giá tăng nhờ ảnh hưởng tích cực từ các hợp đồng xuất khẩu gạo sang Nigeria và Philippines. Hiện có bảy doanh nghiệp châu Phi đang tìm mua gạo xuất khẩu của Việt Nam.Theo đó, Nigeria đã mua 250.000 tấn gạo của Việt Nam do giá bán thấp hơn từ 80 – 90 USD/tấn so với sản phẩm của Thái Lan. Philippines dự kiến ký hợp đồng với tổng công ty Lương thực miền Nam để mua 500.000 tấn gạo 25% tấm. 
Đáng chú ý, tỉnh Bạc Liêu xuất khẩu 25.000 tấn gạo sạch chất lượng cao sang châu Âu, với giá tương đương 887 USD/tấn. Giống gạo này có tên là Một bụi đỏ Hồng Dân được trồng tại Bạc Liêu trên diện tích 20.000 hecta, năng suất trung bình 6 tấn/ha, trong điều kiện không sử dụng thuốc trừ sâu và phân bón. Giống lúa này đã được bảo hộ thương hiệu từ tháng 6.2008.
  Giá lúa thu mua tại các địa phương đã tăng nhẹ 50 – 200đ/kg, khiến cho giá gạo bán lẻ cũng tăng. Giá lúa tại An Giang tăng khoảng 200 – 500đ/kg, tuỳ loại, với giá lúa thường là 3.400đ/kg, lúa Jasmine là 7.500đ/kg, tăng 500đ/kg so với tháng trước. Giá lúa tại Cần Thơ tăng lên 4.400đ/kg, tăng 200đ/kg.
Giá trung bình gạo thường ở các tỉnh đồng bằng sông Cửu Long là 7.500đ/kg, gạo thơm là 14.000đ/kg, đều tăng 500đ/kg. 
  (Vinanet) 
 ",https://agro.gov.vn/vn/tID23365_-Gia-gao-xuat-khau-tang-nhe.html
6,rice,"TRUNG QUỐC SẼ MUA GẠO CỦA DÂN VỚI GIÁ 2,7 NDT/KG",19 | 09 | 2013,"  Trung Quốc đặt giá thu mua tối thiểu cho lúa chính vụ và lúa muộn với giá 2,7 NDT (0,44 USD)/kg. Đó là thông báo của cơ quan hoạch định chính sách quốc gia Trung Quốc.
  Trung Quốc mua lúa gạo để dự trữ, nhằm khuyến khích nông dân gieo trồng loại cây lương thực chủ chốt này, và tăng thu nhập cho người nông dân.
  (1 USD = 6,1215 NDT)",https://agro.gov.vn/vn/tID23393_Trung-Quoc-se-mua-gao-cua-dan-voi-gia-27-NDTkg.html
7,rice,FAO: SẢN LƯỢNG GẠO THẾ GIỚI SẼ TĂNG NHẸ TRONG NIÊN VỤ 2013/14,26 | 09 | 2013,"Tiêu thụ gạo dự báo cũng sẽ tăng trong năm 2013-14, đạt khoảng 490,4 triệu tấn, cao hơn khoảng 2,5% so với 478,5 triệu tấn niên vụ 2012-13, với mức tiêu thụ gạo trung bình người vẫn ở mức khoảng 57 kg/người/năm trong năm 2013-14. 
  Tuy nhiên, thương mại gạo dự báo sẽ đạt khoảng 37,7 triệu tấn trong năm 2013-14, gần như không thay đổi so với khoảng 37,5 triệu tấn niên vụ trước, và giảm khoảng 2% so với khoảng 38,5 triệu tấn niên vụ 2011-12. FAO cho biết dự trữ gạo thế giới có thể tăng lên khoảng 181 triệu tấn niên vụ 2013-14, tăng khoảng 4% so với lúc đầu vụ (khoảng 174 triệu tấn). 
  (Nguồn: Reuters)           
 ",https://agro.gov.vn/vn/tID23402_-FAO-San-luong-gao-the-gioi-se-tang-nhe-trong-nien-vu-201314.html
8,rice,XẢ GẠO BÁN GIÁ THẤP: THÁI LAN BỊ “DỒN VÀO CHÂN TƯỜNG”,22 | 07 | 2013,"Đầu tháng 7-2013, thị trường gạo và chính trường Thái Lan “rung chuyển” bởi quyết định thay đổi Bộ trưởng Thương mại vì để mất vị thế quốc gia xuất khẩu gạo nhiều nhất thế giới. Nhưng đây chỉ là “phần nổi của tảng băng” chính sách thu mua lúa gạo nước này.
Phân tích từ các con số do Bộ Nông nghiệp Mỹ và Bộ Thương mại Thái Lan đưa ra thì tồn kho gạo của chính phủ Thái Lan đã lên tới 16 triệu tấn. Việc đồng baht tăng giá mạnh khiến giá mua lúa của nông dân quy USD càng cao hơn, trong khi giá chào xuất khẩu gạo đang được ép xuống để có thêm khách hàng… Bị “dồn vào chân tường”, Bộ trưởng Thương mại Thái Lan buộc phải chọn cách giải thoát “chẳng đặng đừng” là giảm mạnh giá mua lúa của nông dân. Bởi chỉ có như vậy thì giá gạo xuất khẩu của Thái Lan mới có thể giảm tiếp, mặc dù khoản thua lỗ của chính phủ với kho gạo dự trữ khổng lồ vẫn tiếp tục phát sinh.
Thế nhưng chính quyết định đó đã khiến bộ trưởng trả giá vì điều đó đồng nghĩa với sự thất hứa của chính phủ với nông dân. Bằng chứng rõ ràng nhất là quyết định sa thải chỉ diễn ra ít ngày sau khi Ủy ban Chính sách giá lúa giảm mạnh giá lúa thường từ 15.000 baht/tấn xuống 12.000 baht/tấn. Giá lúa giảm mạnh khiến nông dân giận dữ nên gần như ngay lập tức, mức giá cũ được khôi phục. Và việc tiếp tục thực hiện lời hứa đồng nghĩa với việc bộ trưởng kế nhiệm vẫn bị… “dồn vào chân tường”.
Trong tình huống như vậy, những tháng sắp tới, thay vì áp dụng lại “chiêu” giảm giá mua lúa của nông dân để giảm lỗ, nhiều khả năng chính phủ Thái Lan ép giá gạo xuất khẩu xuống và chấp nhận lỗ lớn, nhằm giải tỏa bớt tồn kho.
Tuy nhiên, cho dù là lựa chọn bất cứ cách tiếp cận nào thì ảnh hưởng của những động thái này đối với hoạt động xuất khẩu gạo của Việt Nam cũng sẽ rất nhỏ, trong khi lại có thể tác động mạnh đối với các đối thủ cạnh tranh khác. Sở dĩ như vậy là bởi hai lẽ chủ yếu.
Thứ nhất: Để tăng tốc xuất khẩu, chắc chắn Thái Lan phải chọn những mặt hàng có lợi thế cạnh tranh như gạo thơm và gạo đồ. Nếu vậy thì không “đụng hàng” với chúng ta nhưng “đụng hàng” với các đối thủ khác.
Rồi với cơ cấu mặt hàng xuất khẩu như vậy, đích đến của họ sẽ là thị trường Trung Đông và châu Phi. Đương nhiên điều này cũng không “đụng hàng” với chúng ta nhưng tạo ra áp lực cạnh tranh mạnh hơn với các đối thủ khác như Mỹ, Ấn độ và Pakistan.
Thứ hai: Đối với những mặt hàng gạo Thái Lan xuất khẩu tương tự như Việt Nam, khoảng cách giá cả vẫn “một trời một vực”, cho nên gạo Thái Lan vẫn sẽ “chào thua”. Như giá chào xuất khẩu gạo 100% B của Thái Lan từ đầu năm đến nay giảm 56 USD/tấn nhưng vẫn còn treo ở mức 507 USD/tấn, quá cao so với giá gạo 5% tấm của Việt Nam tới 130 USD/tấn.
Mặt khác, để tránh khỏi vùng ảnh hưởng của việc Thái Lan xả hàng bán gạo giá thấp, Việt Nam phải tiếp tục bán gạo giá rẻ, không thể tăng giá gạo xuất khẩu.
Tất cả điều nói trên có nghĩa là dù chưa thể khẳng định cách thức tiến hành cụ thể nhưng giải pháp giảm giá để tăng tốc xuất khẩu là điều gần như chắc chắn Thái Lan sẽ thực hiện trong những tháng tới.
Và một điều chắc chắn nữa là không có phép màu nào có thể giúp Thái Lan vượt qua cả Ấn Độ và Việt Nam để giành lại ngôi vị xuất khẩu gạo số một thế giới trong năm nay như tuyên bố của tân thứ trưởng Bộ Thương mại Thái Lan, khi mà tiến độ xuất khẩu của họ nửa đầu năm 2013 còn tụt dốc tới 16,4% so với cùng kỳ năm 2012.
Theo Nguyễn Đình Bích",https://agro.gov.vn/vn/tID23320_Xa-gao-ban-gia-thap-Thai-Lan-bi-don-vao-chan-tuong-.html
9,rice,THÁI LAN XUẤT KHẨU 250 NGHÌN TẤN GẠO CHO CHÍNH PHỦ IRAN,29 | 07 | 2013,"  Theo thông báo từ Bộ Thương mại Thái Lan, Chính phủ nước này đã ký hợp đồng bán 250.000 tấn gạo cho chính phủ Iran theo hợp đồng liên chính phủ và muốn bán gạo nhiều hơn nữa cho các chính phủ châu Á như Trung Quốc, Indonesia, Malaysia và Philippines để có tiền chi cho chương trình thu mua kế tiếp và giải phóng chỗ chứa gạo vụ mới. 
  Bộ trưởng Niwatthamrong Bunsongphaisan cho biết gạo được bán cho Tehran theo giá C&F, loại gạo trắng 100%, kỳ hạn giao tháng 10. Một số thương gia cho rằng giá FOB khoảng 520 USD/tấn.
  (T.H – Oryza)
 ",https://agro.gov.vn/vn/tID23331_Thai-Lan-xuat-khau-250-nghin-tan-gao-cho-Chinh-phu-Iran.html
