category,price,gov,market,intrinsic,extrinsic,News
1,3,0,0,1,0,"VIỆT NAM ĐANG XUẤT NHIỀU GẠO NHẤT THẾ GIỚI VN đang là nước xuất khẩu gạo nhiều và giá cao nhất thế giới. Chỉ tính riêng trong tháng 8, VN đã xuất khẩu gần 1 triệu tấn, mang về nguồn thu hơn nửa tỉ USD."
1,0,0,0,1,0,"XUẤT KHẨU GẠO 8 THÁNG ĐẠT MỨC KỶ LỤC 8 tháng, xuất khẩu gạo đạt gần 6 triệu tấn, mức cao nhất từ trước đến nay, tăng 20% so cùng kỳ và hoàn thành 89% kế hoạch năm"
1,3,3,3,0,0,"PHILIPPINES ĐÀM PHÁN MUA GẠO VIỆT NAM, ẤN ĐỘ Để hạ nhiệt trong nước, Philippines vừa nhận báo giá gạo tốt hơn từ Việt Nam và đang thuyết phục Ấn Độ bán hàng, theo Bloomber"
1,0,1,0,0,0,"GIỮ THƯƠNG HIỆU GẠO VIỆT GIỮA BIẾN ĐỘNG LƯƠNG THỰC TOÀN CẦU Bộ trưởng Bộ Công Thương Nguyễn Hồng Diên nhiều lần nhấn mạnh đến sự hợp tác giữa các bộ, ngành, doanh nghiệp, địa phương sao cho việc tổ chức sản xuất lúa gạo thông suốt qua các chuỗi giá trị bền vững."
1,3,0,3,0,0,"GIÁ GẠO TĂNG NHANH, GIỚI BUÔN THẬN TRỌNG NHẬP HÀNG Một tuần qua, giá gạo tại các chợ ở miền Tây tiếp tục tăng nhanh, mỗi ngày một giá khiến người bán lo lỗ khi nhập thêm nếu giá quay đầu giảm."
1,2,3,2,0,0,"BỘ CÔNG THƯƠNG BAN HÀNH CHỈ THỊ VỀ XUẤT KHẨU GẠO VÀ BÌNH ỔN THỊ TRƯỜNG TRONG NƯỚC Chỉ thị mới của bộ Công Thương nhằm giúp công tác điều hành xuất khẩu gạo đảm bảo mục tiêu tiêu thụ thóc, gạo hàng hóa; cân đối xuất khẩu và tiêu dùng nội địa."
1,3,3,2,0,0,"GIÁ LÚA GẠO LÊN CAO, THỦ TƯỚNG RA CHỈ THỊ ""NÓNG"" Trước tình hình giá gạo tăng cao, Thủ tướng yêu cầu phát huy lợi thế trong sản xuất lúa gạo và cơ hội của thị trường xuất khẩu nhưng vẫn phải đảm bảo vững chắc an ninh lương thực quốc gia."
1,2,0,3,0,0,"THỊ TRƯỜNG TRẦM LẮNG, GIÁ GẠO GIẢM NHIỆT Những ngày cuối tháng 9, giá gạo VN và thế giới về quanh mốc 600 USD/tấn. Nếu so với đỉnh điểm cách đây một tháng, giá gạo đã giảm khoảng 40 USD/tấn. Điều gì làm giá gạo giảm nhanh và liệu sẽ còn kéo dài?"
1,3,1,3,0,0,"ẤN ĐỘ SIẾT THÊM NGUỒN CUNG GẠO TOÀN CẦU Ấn Độ - nước xuất khẩu gạo lớn nhất thế giới - vừa công bố thêm các quy định nhằm siết bán gạo ra nước ngoài.
"
1,1,0,1,0,0,"THỊ TRƯỜNG XUẤT KHẨU GẠO CÒN NHIỀU BIẾN ĐỘNG Theo Hiệp hội Lương thực Việt Nam, tuần qua giá gạo xuất khẩu của Việt Nam và các nước trên thế giới đều ghi nhận sự sụt giảm nhẹ. Từ đó kéo theo giá lúa trong nước cũng giảm nhẹ do thị trường giao dịch chậm"
1,3,0,3,0,2,"EL NINO KHIẾN NHIỀU NƯỚC TĂNG MUA GẠO VIỆT VÀI CHỤC LẦN 5 tháng đầu năm, nhiều quốc gia ở châu Á và Trung Đông ồ ạt mua gạo Việt với kim ngạch tăng từ 30% đến vài chục lần"
1,3,0,3,0,2,"GIÁ GẠO XUẤT KHẨU CAO NHẤT 10 NĂM Nguồn cung gạo trên thế giới giảm, El Nino khiến nhiều quốc gia đua nhập gạo Việt đẩy giá lên cao nhất 10 năm.
"
1,3,0,3,1,0,"XUẤT KHẨU GẠO TIẾP TỤC KHỞI SẮC Chỉ trong 5 tháng đầu năm, xuất khẩu gạo đã đạt 3,62 triệu tấn, là mặt hàng hiếm hoi có kim ngạch xuất khẩu tăng trong bối cảnh khó khăn chung."
