,0
0,"Việc xuất khẩu gạo trong bối cảnh hiện nay cần xem xét kĩ lưỡng, thận trọng; trước hết phải bảo đảm an ninh lương thực quốc gia, đồng thời giảm thiểu việc gián đoạn chuỗi sản xuất lúa gạo."
1,"Tuần này, giá xuất khẩu gạo Thái Lan tăng vọt lên cao nhất trong 7 năm nhờ kì vọng doanh số bán tăng sau khi nhà xuất khẩu hàng đầu Ấn Độ bước vào giai đoạn đóng cửa để ngăn chặn sự lây lan của virus corona và đối thủ chính Việt Nam tạm ngừng kí hợp đồng xuất khẩu mới."
2,"Về chủ trương tạm dừng xuất khẩu gạo, tại Hội nghị trực tuyến sơ kết sản xuất trồng trọt vụ đông xuân 2019 - 2020 triển khai kế hoạch vụ hè thu, thu đông, mùa năm 2020 tại các tỉnh, thành Nam Bộ, đại diện nhiều địa phương kiến nghị, Bộ Công Thương, Bộ NNPTNT đề xuất với Chính phủ xem xét lại chủ trương này."
3,"Các doanh nghiệp hàng đầu tại quốc gia xuất khẩu gạo lớn nhất thế giới đang đau đầu vì đại dịch Covid-19 khiến hàng hóa bị đình trệ, đẩy các loại thuế phí lên cao."
4,"Trong phòng chống dịch Covid-19, Thủ tướng Nguyễn Xuân Phúc cho biết, chúng ta chăm sóc công dân Việt Nam, quan tâm cả người nước ngoài, xử lý vấn đề nhân văn, “chứ không phải chạy theo đồng tiền”. Trong nông nghiệp nông thôn và an ninh lương thực cũng phải làm như vậy, để không ai bị bỏ lại phía sau, không để ai bị đứt bữa."
5,"Tổng cục Hải quan yêu cầu Cục hải quan các tỉnh, thành phố tạm dừng việc đăng ký, tiếp nhận và thông quan đối với các lô hàng gạo các loại xuất khẩu dưới mọi hình thức kể từ 0 giờ ngày 24/3/2020."
6,"Do diễn biến phức tạp của dịch Covid-19 khiến nhu cầu tích trữ lương thực của người dân tăng cao, dự báo nhu cầu lúa thế giới tăng 3,7 triệu tấn trong khi sản lượng có thể giảm 2,7 triệu tấn. Trong bối cảnh đó, Bộ NNPTNT đang tính đến phương án tăng thêm diện tích sản xuất lúa thu đông."
7,"Tổng cục Dự trữ Nhà nước đã khẩn trương triển khai đầy đủ các thủ tục và giao cho các Cục Dự trữ Nhà nước khu vực triển khai mua lương thực (thóc, gạo) nhập kho dự trữ quốc gia gồm 190.000 tấn gạo và 80.000 tấn thóc. Thời gian dự kiến hoàn thành việc nhập kho 190.000 tấn gạo trước ngày 15/6."
8,"Đầu tuần, Thủ tướng Campuchia Hun Sen đã yêu cầu dừng xuất khẩu gạo trắng và thóc từ 11h59 tối ngày 5/4, với lí do đảm bảo nguồn cung trong nước trong khi dịch COVID-19 đang tiếp tục lan rộng tại quốc gia Đông Nam Á."
9,"Giá gạo xuất khẩu của Thái Lan tiếp tục tăng trong tuần này lên mức cao nhất trong 6,5 năm và giá gạo Việt Nam tăng lên mức cao nhất trong gần 16 tháng do sự lây lan của virus corona làm bùng phát lo ngại về nguồn cung."
10,"Giá lúa tươi tại ruộng ở nhiều tỉnh thành ở ĐBSCL lập đỉnh, cao nhất trong 3 năm qua. Trong khi đó, hạn, mặn làm thiệt hại khoảng gần 39.000 ha lúa, với khoảng 20.000 ha mất trắng, khoảng 97.700 hộ dân gặp khó khăn về nguồn nước sinh hoạt."
11,"Giá gạo xuất khẩu của Việt Nam lên cao nhất hơn một năm nhờ nhu cầu trong nước khi virus corona bùng phát. Trong khi đó, tình trạng hạn hán tại Thái Lan tiếp tục dấy lên lo ngại về thiếu nguồn cung và kéo giá xuất khẩu vượt đỉnh 6 năm rưỡi trong tuần này."
12,Trong năm 2020 xuất khẩu gạo của Việt Nam được dự báo tăng trưởng khả quan dù bối cảnh dịch COVID-19 đang khiến nhiều ngành hàng tỉ đô lâm vào cảnh khó khăn.
13,"Theo thống kê sơ bộ của Tổng cục Hải quan, xuất khẩu gạo ra thị trường nước ngoài trong 2 tháng đầu năm 2020 đạt 928.798 tấn, thu về 430,49 triệu USD, tăng 30,5% về lượng và tăng 38,2% về kim ngạch so với cùng kỳ năm 2019."
14,Việt Nam đang có cơ hội xuất khẩu gạo sang châu Phi
15,"Trước những diễn biến phức tạp thương mại gạo toàn cầu đã và đang gây áp lực không nhỏ lên hoạt động xuất khẩu gạo của Việt Nam, Cục Xuất nhập khẩu (Bộ CôngThương) đã ban hành công văn hỏa tốc số 225/XNK-NS ngày 8/3/2020."
16,"Trong khi nhiều loại nông, thủy sản đang phải chịu tác động khá nặng nề từ dịch viêm đường hô hấp cấp do chủng mới của virus Corona (COVID-19) gây ra, thì lúa gạo là mặt hàng hiếm hoi trong nhóm hàng nông sản... “miễn nhiễm”."
17,"Tuần trước, giá gạo xuất khẩu tại Thái Lan đã vượt đỉnh 6 năm rưỡi, cao hơn khoảng 100 USD/tấn so với hai nhà xuất khẩu lớn khác là Việt Nam và Ấn Độ."
18,"Đến cuối tháng 2/2020, dịch châu chấu đang bắt đầu có tác động đến Trung Quốc, đặc biệt là ở các tỉnh vùng biên phía Tây như Tân Cương, Tây Tạng, Vân Nam…."
19,USDA: Dự báo cung cầu gạo thế giới niên vụ 2019/20
20,"Thiên tai hạn mặn diễn ra gay gắt, nhờ triển khai đồng bộ các giải pháp nên lúa đông xuân 2019-2020 ở ĐBSCL thắng lợi lớn, năng suất cao, mức độ thiệt hại rất ít."
21,"Nhu cầu mạnh mẽ đã giúp giá gạo Việt Nam phục hồi trong tuần này lên mức cao nhất kể từ tháng 12/2018. Tại Thái Lan, nguồn cung giảm vì hạn hán kéo dài kéo giá gạo xuất khẩu lên đỉnh 6 năm rưỡi."
22, 
23,"Chủ tịch danh dự TREA Chookiat Ophaswongse cho biết, nhu cầu về gạo toàn cầu đã mạnh lên kể từ khi bùng nổ dịch COVID-19, khiến giá gạo tăng từ 30-50 USD/tấn kể từ đầu năm nay."
24,"Dự báo năm 2020 nhu cầu nhập khẩu gạo của Senegal ở mức cao do đại dịch châu chấu bùng phát ở Đông Phi phá hoại mùa màng và dịch COVID-19 dẫn đến tâm lí người dân tăng cường tích trữ lương thực, thực phẩm trong đó có gạo."
25,Báo cáo mới nhất của Tổ chức Lương thực và Nông nghiệp Liên Hợp Quốc (FAO) cho biết giá thực phẩm trên thế giới giảm trong tháng 2 sau 4 tháng tháng liên tiếp vì giá dầu thực vật xuất khẩu giảm mạnh khi virus corona bùng phát dấy lên lo ngại nhu cầu sẽ chậm lại.
26,Xuất khẩu gạo từ Ấn Độ – vốn đã chịu tác động nặng nề bởi căng thửng giữa Mỹ và Iran – đang đối diện với khó khăn mới khi virus corona bùng phát tại Iran và nước này đã báo một vài người chết do dịch bệnh.
27,"Tuần qua, các quan chức Bộ Nông Nghiệp và Nông thôn Trung Quốc cho hay nước này có thể hoàn thành mục tiêu về sản lượng gạo trong năm nay, bất chấp sự bùng phát của dịch virus corona."
28,"Giá gạo dự báo tăng tới giữa năm do người tiêu dùng toàn cầu đang tăng mạnh tích trữ, đồng thời Trung Quốc khó có thể tiếp tục nhịp độ xuất khẩu gạo như năm 2019 do an toàn thực phẩm trở nên sống còn giữa đại dịch Covid-19."
29,Chính phủ Trung Quốc quyết tâm đạt ổn định nguồn cung ngũ cốc giữa bão dịch cúm
30,Trong khi hầu hết các mặt hàng nông sản xuất khẩu gặp khó trong những tháng đầu 2020 thì xuất khẩu gạo lại bất ngờ tăng mạnh. Thế mạnh tỷ USD của Việt Nam dự báo vượt cả Thái Lan.
31,Thái Lan đang có nguy cơ mất vị trí xuất khẩu gạo lớn thứ hai thế giới do khả năng cạnh tranh yếu và thiếu bộ giống lúa để đáp ứng nhu cầu thị trường.
32,"Xuất khẩu gạo của Ấn Độ trong giai đoạn tháng 4-11/2019 (8 tháng đầu của tài khóa hiện tại) giảm 1/4, xuống 5,5 triệu tấn (so với 7,5 triệu tấn cùng kỳ năm trước), chủ yếu do việc Mỹ trừng phạt Iran. Trị giá xuất khẩu trong giai đoạn đó cũng giảm 19% xuống 3,8 tỷ USD, từ mức 4,7 tỷ USD của tài khóa trước."
33,Dưới đây là thông tin của USDA và FAO về diễn biến giá gạo tại các thị trường thương mại gạo chủ chốt trên thế giới trong 2 tháng đầu năm 2020.
34,"Ấp Bình Hòa, xã Bình Tịnh, huyện Tân Trụ, Long An có 4 nhà máy xay xát lúa gạo quy mô lớn, tổng công suất 1.000 tấn lúa/ngày, tương đương gần 350 nghìn tấn/năm."
35,Người tiêu dùng Philippines vui mừng khi giá gạo tiếp tục ổn định vào đầu năm 2020 nhờ các biện pháp can thiệp của Chính phủ.
36,"Biến động của đồng tiền đã giúp giá gạo xuất khẩu của Thái Lan tăng cao trong tuần này, còn giá gạo tại nhà xuất khẩu hàng đầu - Ấn Độ - cũng chạm đỉnh 4 tháng."
37,"Báo cáo công bố trong tháng 2 của Bộ Nông nghiệp Mỹ (USDA) cho biết thương mại gạo được dự báo giảm tại nhiều nhà xuất, nhập khẩu lớn trên thế giới."
38,"Giá gạo xuất khẩu của Việt Nam tuần 13-21/2/2020 đạt mức cao nhất trong vòng hơn 1 năm do nhu cầu mạnh từ Philippines và Malaysia, trong khi giá gạo Ấn Độ vững ở mức cao nhất 4 tháng."
39,"Trong khi hầu hết các mặt hàng nông sản xuất khẩu bị giảm trong những tháng đầu năm 2020, một trong những nguyên nhân là do ảnh hưởng của dịch COVID-19, thì gạo lại có sự tăng trưởng cả lượng và giá trị."
40,Hàng nghìn héc ta lúa đông xuân ở ĐBSCL có nguy cơ mất trắng do ảnh hưởng hạn mặn xâm nhập.
41,"Theo cơ quan thống kê Indonesia, quốc gia Đông Nam Á đã sản xuất 54,6 triệu tấn thóc trong năm 2019, giảm khoảng 8% từ 59,2 triệu tấn của một năm trước, vì thời tiết cực đoan."
42,Bộ NN&PTNT cho rằng nhu cầu nhập khẩu gạo từ Việt Nam tiếp tục giảm dần do các quốc gia khác đã và đang cơ cấu lại nền nông nghiệp nhằm nâng cao khả năng tự cung cấp và đáp ứng phần nào nhu cầu lương thực nội địa.
