,category,title,date,content,sources,brief
2235,1,XUẤT KHẨU GẠO 3 THÁNG ĐẦU NĂM TĂNG HƠN 71%,31 | 03 | 2009,"Riêng trong tháng 3-2009, xuất khẩu đạt 700.000 tấn, kim ngạch đạt 315 triệu USD. Hiệp hội Lương thực cũng cho biết, trong tháng 3-2009, giá lương thực vẫn tăng nhẹ. Hiện nay, giá gạo 5% tấm xuất khẩu của Việt Nam giao dịch ở mức 435-460 USD/tấn FOB, gạo 25% tấm ổn định ở mức 400-410 USD/tấn. Năm 2009, sản lượng lúa gạo xuất khẩu của cả nước sẽ đạt khoảng 4,5-5 triệu tấn, riêng 6 tháng đầu năm 2009, các doanh nghiệp đã đăng ký xuất khẩu khoảng 3,6 triệu tấn.",https://agro.gov.vn/vn/tID13325_Xuat-khau-gao-3-thang-dau-nam-tang-hon-71-.html,"Bộ NN&PTNT cho biết, tổng sản lượng gạo xuất khẩu trong 3 tháng đầu năm 2009 là 1,743 triệu tấn, đạt kim ngạch 785 triệu USD, so với cùng kỳ năm trước, sản lượng tăng 71,3%, kim ngạch tăng 76,2%."
2236,1,DÃN TIẾN ĐỘ XUẤT KHẨU GẠO: LỢI HAY HẠI?,30 | 03 | 2009,"Doanh nghiệp bức xúc

HHLT vừa có văn bản yêu cầu các DN dãn tiến độ xuất khẩu gạo, chỉ cho đăng ký tiếp các hợp đồng xuất khẩu gạo có thời hạn giao hàng từ tháng 7 đến tháng 9.2009.

Trong khi đó ở thị trường ""ngoại"", giá gạo xuất khẩu của VN vẫn ổn định ở mức cao: Gạo 5% tấm giao dịch ở mức 435 - 460USD/tấn FOB, gạo 25% tấm bán 400 - 410USD/tấn.

Trong nước, nông dân trồng lúa đang phấn khích bởi bán được giá cao, thu lời tới 50%.
Thế nên, yêu cầu của HHLT đúng vào bối cảnh trên, khiến không ít DN đang ""hăng"" bị khựng lại.

Một DN xuất khẩu gạo ở ĐBSCL băn khoăn rằng, con số dự báo sản lượng lúa của Bộ NNPTNT chưa sát thực tế, thậm chí có khi... cũ. Trong vài năm gần đây, sản lượng lúa của Bộ NNPTNT ""ước"" theo chiều hướng tăng ở ngưỡng 36 đến 38 triệu tấn. Từ con số này, mới ""ước"" ra chỉ tiêu xuất khẩu gạo năm nào cũng ở mức 4-5 triệu tấn. Năm nay cũng vậy, chỉ tiêu xuất khẩu cũng 4,5-5 triệu tấn gạo.

Trong khi đó, năm 2008, tại hội thảo về chiến lược an ninh lương thực quốc gia và chiến lược phát triển trồng trọt đến 2020 (do Bộ NNPTNT tổ chức tại TPHCM) chính Cục Trồng trọt cho hay từ năm 2000-2007, do tốc độ phát triển KCN , đô thị, sân golf... trung bình mỗi năm nước ta mất 51.000ha đất canh tác lúa, tương đương với giảm 400.000 - 500.000 tấn lúa/năm. Năng suất lúa tuy vẫn tăng, nhưng đang có xu hướng chững lại.

Vì vậy việc căn cứ ""ước"" thiếu thực tế để kìm hãm lợi nhuận đang tăng của DN là không thuyết phục. Hơn nữa, dễ dẫn tới DN ""hãm"" thu mua, khiến nông dân ""vơi"" lợi nhuận.

Hiệp hội vẫn giữ vững lập trường

Trao đổi với PV, ông Huỳnh Minh Huệ (Q. Tổng Thư ký HHLT) vẫn thể hiện việc ""giữ vững quan điểm"" của HHLT: ""Các DN chỉ lo thu lãi của cá nhân mình, càng nhiều càng tốt mà không quan tâm tới những ảnh hưởng khác về mặt an sinh xã hội, an ninh lương thực ở tầm nhìn rộng hơn chứ không chỉ chuyện đói, nên bức xúc cũng dễ hiểu!"".

Theo phân tích của HHLT, năm nay, Việt Nam sau khi cân đối an ninh lương thực, chỉ đủ lượng xuất khẩu khoảng 4,5 - 5 triệu tấn gạo. Hiện các DN đã ký kết hợp đồng xuất khẩu đến tháng 6.2009 hơn 3,6 triệu tấn. Vì vậy, dù ngừng ký hợp đồng mới nhưng hiện các DN thành viên HH vẫn đẩy mạnh thu mua lúa để chế biến xuất khẩu, để đảm bảo hợp đồng đã ký. Giá thu mua lúa của dân vẫn ổn định và dân vẫn đảm bảo lợi nhuận cao tới 50%, mặc dù đã qua giữa vụ thu hoạch lúa đông xuân, trái với quy luật thông thường, vào vụ giá giảm.

Mặt khác, 6 tháng còn lại của năm 2009 chỉ cần xuất khẩu thêm hơn 1 triệu tấn nữa, trong khi với thời tiết phức tạp, chưa chắc vụ hè thu đã được mùa.

Hơn nữa, theo Bộ Công Thương, tính đến hết tháng 3.2009, xuất khẩu gạo cả nước đạt hơn 1,742 triệu tấn - tăng hơn 76% so cùng kỳ năm ngoái . ""Với lượng xuất vậy là mất cân đối rồi. Nếu DN không dãn tiến độ, thì không có đủ lúa gạo đâu mà đáp ứng. Không đáp ứng, phá vỡ hợp đồng, thì uy tín DN ở nơi xuất khẩu gạo thứ hai thế giới sẽ ảnh hưởng lớn, chưa nói là bị phạt như thế nào!"" - ông Huệ nói.

Mặt khác, nếu không dãn tiến độ giao hàng, để xảy ra mua - giao ""dồn cục"" khối lượng lớn trong khoảng thời gian ngắn đến hết tháng 6.2009, các DN xuất sẽ phải gánh một sức ép lớn, rất có thể sẽ xảy ra tình trạng sốt giá hoặc ""đè"" giá, sẽ tác động không tích cực đến chỉ số giá tiêu dùng. Quan điểm này đã nhận được sự đồng tình của Bộ NNPTNT.
Phó Vụ trưởng Vụ XNK Bộ Công Thương - ông Nguyễn Đăng Chi: Dãn hay không phải được xem xét kỹ lưỡng. Việc Hiệp hội Lương thực đưa ra một văn bản đề nghị dãn tiến độ XK gạo là cũng có thể dựa vào những căn cứ chứng minh việc cần thiết phải làm, nhằm bảo đảm an ninh lương thực quốc gia nhưng việc có dãn tiến độ XK gạo hay không thì việc làm này vẫn phải đạt mục tiêu tiêu thụ hết lúa cho nông dân và phải tạo điều kiện cho người trồng lúa có lãi. Vấn đề là Hiệp hội Lương thực phải chứng minh đề nghị dãn tiến độ XK gạo để đạt mục đích gì... Tuy nhiên, đây mới là ý kiến đề xuất của một hiệp hội mà thôi.

Để thực hiện việc có dãn tiến độ XK gạo hay không, điều này phải có sự chấp thuận của các cơ quan quản lý và điều hành hoạt động XK mặt hàng này. Cụ thể là Bộ Công Thương và Bộ NNPTNT phải có ý kiến về việc cân đối tình hình sản xuất lúa, nguồn cung gạo XK có đảm bảo nhu cầu và tình hình tiêu thụ lương thực hiện nay. Việc cân đối nguồn lương thực trong nước sẽ thuộc trách nhiệm của Bộ NNPTNT, và đây là ý kiến quan trọng nhất để có thể quyết định việc nên dãn tiến độ XK hay không.

Chỉ dãn giao XK 300.000 tấn gạo. Về tiến độ XK gạo, Bộ NNPTNT và Bộ Công Thương đã có cuộc họp bàn về vấn đề này từ đầu tháng ba. Theo đó, hai bộ thống nhất tiếp tục đẩy mạnh XK gạo, từ nay đến hết tháng 6.2009 sẽ XK khoảng 3,4 triệu tấn gạo trong tổng số hợp đồng đã ký là 3,7 triệu tấn, trong đó dành 300 ngàn tấn dãn giao để dự phòng cho vụ hè thu. Sáu tháng còn lại sẽ giao tiếp 1 triệu tấn gạo theo kế hoạch. Theo hai bộ, tiến độ trên sẽ đảm bảo thu mua được hết lúa vụ đông xuân cho nông dân ĐBSCL, đồng thời đảm bảo chỉ tiêu XK gạo năm 2009 đạt 4,5-5 triệu tấn.

Thứ trưởng Bộ NNPTNT Bùi Bá Bổng nhận định, vụ hè thu là thời điểm khó khăn trong việc XK gạo, bởi chất lượng gạo vụ này thấp hơn nhiều so với vụ đông xuân. Việc dãn giao 300 ngàn tấn gạo đông xuân là hợp lý, bởi trong trường hợp có đột biến về thời tiết, chất lượng gạo hè thu xuống thấp thì có thể điều chỉnh được chất lượng gạo để XK. Ông Nguyễn Trí Ngọc - Cục trưởng Cục Trồng trọt - cũng cho rằng việc dãn giao lúc này là cần thiết. Không ai dám chắc thời tiết không làm giảm năng suất và chất lượng vụ mùa.
Theo cơ quan chức năng, trong tổng số trên 3 triệu tấn gạo ký hợp đồng xuất khẩu tháng 6.2009 (ký trước), có hơn 2 triệu tấn là bán được giá cao, trung bình 430USD/tấn đối với gạo 5% tấm. Còn lại, nhiều DN ký hàng trăm tấn bị dính giá thấp (do ký trước và không tiên liệu sự đột biến giá gạo), có lô gạo 5% tấm chỉ bán được 370-380USD/tấn"".",https://agro.gov.vn/vn/tID13313_Dan-tien-do-xuat-khau-gao-Loi-hay-hai.html,"Trái ngược với quy luật vào vụ giá giảm, đã qua giữa vụ thu hoạch đông xuân, giá thu mua gạo vẫn tăng, nông dân có lời từ 40-50%. Trong bối cảnh đó, mới đây Hiệp hội Lương thực Việt Nam (HHLT) lại có văn bản yêu cầu DN dãn tiến độ xuất khẩu, chỉ cho ký các hợp đồng có thời hạn giao hàng từ tháng 7.2009."
2237,1,BẢN TIN THỊ TRƯỜNG VÀ THƯƠNG MẠI LÚA GẠO VIỆT NAM (TUẦN 23 - 29/03/2009),01 | 04 | 2009,"- Phân Ure trong xu hướng tăng giá
- Giá phân DAP không tăng, giảm so với đầu năm 2009
- Giá lúa giảm nhẹ tại một số địa phương ĐBSCL do thu hoạch vụ đông xuân 2008/09
- Giá gạo trong nước ổn định ở mức cao
- Gạo xuất khẩu Việt Nam ổn định trong tuần
- Gạo Thái xuất khẩu trong quý I/2009 giảm mạnh so với cùng kỳ

Trích từ ""Bản tin thị trường và thương mại lúa gạo tuần” của agroinfo, www.agro.gov.vn
-----------------------------------------------------------
Để biết thêm thông tin chi tiết về diễn biến giá cả lúa, gạo trong nước và quốc tế hàng ngày cũng như những phân tích, bình luận, dự báo thị trường gạo, mời quý vị đăng ký đặt mua Bản tin gạo tuần theo mẫu dưới đây.
Tải mẫu đăng ký đặt mua Bản tin gạo tuần tại đây
Xem thông tin về bản tin tại đây

Liên hệ để đặt mua Bản tin theo địa chỉ:
Nguyễn Thị Thu Hà - ĐT: (84.4) 9725153
Email: banhang_agro@yahoo.com
Fax: 844.9725153

Liên hệ với tác giả bài viết:

Nguyễn Lương Hiền - nguyenluonghien@agro.gov.vn",https://agro.gov.vn/vn/tID13339_Ban-tin-thi-truong-va-thuong-mai-lua-gao-Viet-Nam-tuan-23-29032009.html,"Theo chỉ đạo của Bộ Công thương và Bộ NN&PTNT, cho đến hết tháng 6/2009, Việt Nam sẽ xuất khẩu khoảng 3,4 triệu tấn gạo trong tổng số 3,7 triệu tấn theo hợp đồng đã ký."
2238,1,ST5 - “HOA HẬU” MIỀN ĐẤT MẶN,30 | 03 | 2009,"Giống lúa “ 3 trong 1”
Hơn tháng nay, nhiều thương lái miền Tây đổ về Sóc Trăng, Trà Vinh,… thu mua lúa ST5. Phần lớn lúa chất lượng cao ST5 được thương lái thu mua phục vụ cho xuất khẩu nên giá khá cao. Nông dân Lâm Văn Hớn, xã Hiệp Mỹ Đông, Cầu Ngang (Trà Vinh) vừa thu hoạch xong 0,5ha lúa ST5 trên chân đất nhiễm mặn nuôi tôm, phấn khởi chia vui: “Hiện lúa ST5 trồng ở đây năng suất đạt bình quân hơn 4,5tấn/ha, cao hơn 0,8 tấn/ha so giống lúa mùa địa phương, giá lúa từ 4.700 đến 5.200đ/kg, có lúc 6.000đ/kg, nông dân thu lãi từ 12 đến 16 triệu đồng/ha, cao gần 2 lần giống lúa khác. Nuôi một vụ tôm mùa nắng trồng một vụ lúa ST5 mùa mưa đang là hướng lựa chọn của nông dân vùng này. Trúng tôm, được lúa lợi ích kinh tế gấp đôi, nếu lỡ thua tôm vẫn còn có lúa ST5 để mà gỡ lại. Nông dân ở đây giờ 80% mê ST5”.
Lúa ST5 cho năng suất gần 6 tấn/ha trên đất nhiễm mặn Trà Vinh
Năm nay, vùng tôm - lúa các xã Hiệp Mỹ Đông, Hiệp Mỹ Tây, Mỹ Long Nam, huyện Cầu Ngang (Trà Vinh) nông dân đều thắng đậm vụ lúa mùa. Trúng mùa, được giá “thương hiệu ST5” càng hấp dẫn đối với nhà nông. Kỹ sư Nguyễn Đức Mậu, Trưởng phòng NN-PTNT Cầu Ngang (Trà Vinh) phấn chấn khoe: “Với ưu điểm thích nghi rộng cả 3 vùng nước ngọt, lợ và chân đất nuôi tôm nhiễm mặn, năng suất khá cao (4,5 - 5 tấn/ha), gạo dẻo, thơm ngon, không bạc bụng, đạt chuẩn xuất khẩu... nên ST5 được nông dân gọi là “Hoa hậu” miền đất mặn. Điều lý thú là ST5 trồng trên chân đất nuôi tôm nhiễm mặn, cơm dẻo, thơm lâu đáo để”.      
3 năm đưa giống lúa ST5 sản xuất trên chân đất nuôi tôm nhiễm mặn, điều đáng ghi nhận là ngoài ưu điểm về lợi ích kinh tế, ST5 còn tạo ra bước đột phá về cơ cấu mùa vụ, cơ cấu sản xuất địa phương. Và hơn thế nữa là sự phát triển bền vững của hô hình tôm - lúa ở đất nhiễm mặn.
Thương hiệu ST5
Kỹ sư Hồ Quang Cua, Phó Giám đốc Sở NN-PTNT Sóc Trăng, “cha đẻ” giống lúa ST5 cho biết: “So với “đàn anh” ST3, giống lúa ST5 có nhiều tính năng vượt trội: Nở bụi mạnh, thân cứng, lá thẳng, rễ phát triển mạnh và hạt dài. Lai lịch của giống lúa ST5 có họ hàng với giống Khao Đát Mali. Năm 2006, giống lúa ST5 được trồng đại trà ở ĐBSCL và được Bộ NN-PTNT khuyến khích nhân rộng ở nhiều địa phương”. Nhẹ phân, dễ trồng và đặc biệt để nuôi được tôm, cá sau vụ lúa nên mô hình canh tác lúa ST5 giảm thiểu tối đa việc sử dụng thuốc nông dược. Chính vì vậy lúa ST5 không chỉ chiếm vị thế “độc tôn” trên chân đất nhiễm mặn nuôi tôm mà còn được “ưu ái” trên vùng đất phèn nước ngọt và lợ… 
“Trước tình hình giống lúa IR 50404, giống lúa OM 576 (Hàm Châu) bị bạc bụng, khó khăn về đầu ra nên vụ mùa này tôi dự định chuyển hết 7ha trồng lúa sang canh tác giống ST5 nhưng do nguồn giống khan hiếm nên chỉ trồng được 2ha. Với ST5, nhiều hộ thâm canh giỏi năng suất đạt hơn 5,5tấn/ha, canh tác 1ha lúa ST5 thu lãi 12 đến 18 triệu đồng, gần gấp 2 lần lúa địa phương. Nông dân ở đây giờ mê ST5 lắm vì đầu ra luôn ổn định”, nông dân Lâm Văn Cường ở xã Trường Thọ, Cầu Ngang thổ lộ.
Với ưu thế vượt trội về năng suất, chất lượng, giá trị xuất khẩu, thích nghi rộng ở nhiều vùng đất, năm 2009 ngành nông nghiệp tỉnh Trà Vinh có kế hoạch mở rộng diện tích trồng giống lúa ST5 lên đến 15.000ha và tiến tới xây dựng thương hiệu “lúa sạch” xuất khẩu trong tương lai.
Sau hơn 10 năm làm việc miệt mài, với những thành tích nổi bật lai tạo ra giống lúa ST3, ST5… chịu được phèn mặn cho vùng tôm lúa ĐBSCL, kỹ sư Hồ Quang Cua được nhà nước tặng Huân chương Lao động hạng hai. Mới đây, kỹ sư Hồ Quang Cua, Trưởng nhóm nghiên cứu giống lúa thơm ST báo tin mừng lại vừa cho “ra lò” bộ lúa thơm giống mới với tên ST21, đánh dấu thêm bước thành công của bộ giống lúa thơm ST với năng suất khá cao, đặc biệt là khả năng chống sâu bệnh được đánh giá là “hơn cả sự mong đợi!”…",https://agro.gov.vn/vn/tID13305_ST5--Hoa-hau-mien-dat-man.html,"Sau nhiều năm mày mò, thử nghiệm, nông dân vùng đất nhiễm mặn ĐBSCL: Trà Vinh, Sóc Trăng, Bạc Liêu như tìm được “vàng” khi thực hiện thành công mô hình tôm - lúa bền vững với giống chất lượng cao ST5. Tại Sóc Trăng - “vương quốc ST5” - lúa vừa suốt xong được thương lái mua với giá 4.700 đến 5.500đ/kg. Còn ở Trà Vinh giá lúa ST5 tăng cao kỷ lục từ 5.200đ đến 6.000đ/kg. Người dân vùng nhiễm mặn ven biển phong cho giống lúa ST5 cái tên “Hoa hậu” miền đất mặn…"
2239,1,40.000HA LÚA XUÂN TẠI PHÍA BẮC THIẾU NƯỚC TƯỚI,02 | 04 | 2009,"Mực nước sông Hồng thấp nhất đo được tại Hà Nội cuối tháng 3 vừa qua là 0,92m. Mực nước sông Đáy, Cầu, Hoàng Long… xuống thấp khiến các trạm bơm không thể bơm nước vào nội đồng tưới dưỡng cho lúa. Bộ NN&PTNT sẽ làm việc với Tập đoàn Điện lực Việt Nam để lên kế hoạch xả nước tại 3 hồ thủy điện Hòa Bình, Thác Bà, Tuyên Quang nhằm bảo đảm đủ cung cấp nước cho phía hạ lưu.         ",https://agro.gov.vn/vn/tID13371_40000ha-lua-xuan-tai-phia-Bac-thieu-nuoc-tuoi.html,"Cục Thủy lợi - Bộ NN&PTNT cho biết, khoảng 40.000ha lúa xuân tại các tỉnh, thành phố phía Bắc đang gặp khó khăn về nước tưới do thời tiết ít mưa."
2240,1,"ĐBSCL: DỰ BÁO SẢN LƯỢNG LÚA VỤ ĐÔNG - XUÂN TOÀN VÙNG SẼ ĐẠT 9,6 – 9,8 TRIỆU TẤN",27 | 03 | 2009,"Cuộc họp diễn ra tại tỉnh Vĩnh Long, với sự tham gia của lãnh đạo các cục chuyên môn, viện, trường và sở nông nghiệp và phát triển nông thôn các tỉnh, thành ĐBSCL.
Theo báo cáo của Cục Trồng trọt, vụ Đông - Xuân năm 2008 – 2009, toàn vùng đã xuống giống được 1.544.702 ha, đạt 102,23% so với kế hoạch, tăng 18.000 ha so với cùng kỳ vũ Đông - Xuân 2007 – 2008. Tính đến ngày 20/03/2009, toàn vùng đã thu hoạch được 700.000 ha với năng suất bình quân đạt 6,2 – 6,3 tấn/ha.
Dự báo sản lượng vụ Đông - Xuân toàn vùng sẽ đạt 9,6 – 9,8 triệu tấn. Theo tính toán sơ bộ của Sở Nông nghiệp và Phát triển nông thôn các tỉnh thì giá thành sản xuất vụ Đông Xuân ở mức 2000 – 2100 đồng/kg đối với lúa thường và 2200 – 2300 đồng/kg đối với lúa chất lượng cao. Hiện nay, giá thu mua trên thị trường đối với lúa cấp thấp là 4000- 4100 đồng/kg; lúa chất lượng cao từ 4200 – 4600 đồng/kg; lúa thơm từ 4800 – 5000 đồng/kg. Như vậy, nông dân còn lãi khoảng 40 – 50%.
Cũng theo Cục Trồng trọt thì hiện nay, nông dân các tỉnh vùng đồng bằng sông Cửu Long đã xuống giống khoảng 74.000 ha lúa Xuân Hè, tập trung ở các tỉnh vĩnh Long, Đồng Tháp, Cần Thơ, Trà Vinh, Sóc Trăng. Từ khoảng giữa tháng 4, toàn vùng sẽ xuống giống vụ Hè Thu với diện tích kế hoạch là 1,6 triệu ha. Để bảo đảm thắng lợi sản xuất lúa trong thời gian tới, Thứ trưởng Bùi Bá Bổng chỉ đạo các tỉnh phải tập trung chăm sóc, bảo vệ vụ lúa Xuân Hè; đồng thời chỉ đạo các địa phương vận động nông dân cày ải song song với việc thực hiện các công trình thuỷ lợi, bảo đảm đủ nước tưới ngăn ngừa hạn, mặn xâm nhập. Đối với lúa Hè - Thu phải đảm bảo xuống giống đúng lịch thời vụ và bảo đảm cơ cấu giống; trong đó, giống lúa chất lượng thấp không được vượt quá 15%. Thứ trưởng cũng đặc biệt lưu ý các cơ quan chuyên môn và các địa phương tìm giải pháp để giảm giá thành sản xuất vụ lúa Hè - Thu sắp tới và những năm tiếp sau.",https://agro.gov.vn/vn/tID13290_DBSCL-Du-bao-san-luong-lua-vu-Dong-Xuan-toan-vung-se-dat-96--98-trieu-tan-.html,"Vừa qua, Thứ trưởng Bộ Nông nghiệp & Phát triển nông thôn Bùi Bá Bổng đã chủ trì cuộc họp giao ban sản xuất lúa các tỉnh, thành đồng bằng sông Cửu Long (ĐBSCL) nhằm đánh giá tình hình và kết quả sản xuất vụ lúa Đông - Xuân, bàn kế hoạch sản xuất vụ lúa Hè - Thu."
2241,1,ĐỪNG ĐỂ TÁI DIỄN,26 | 03 | 2009,"IR 50404 là giống lúa đã từng khiến nông dân... ê ẩm trong năm 2008 do không bán được, bán chậm với giá thấp khi xuống giống ồ ạt, xuất khẩu gạo lại gặp khó khăn. Vụ đông xuân 2008 - 2009, các địa phương trong vùng vận động nông dân chuyển sang trồng các giống lúa khác, diện tích gieo sạ IR 50404 giảm đáng kể. Năm nay xuất khẩu gạo thuận lợi ngay từ đầu năm, không kể các giống lúa chất lượng cao, IR 50404 cũng ""lên hương"" khi bán được giá.
Là giống lúa năng suất cao, dễ trồng, vì vậy khi bán được giá, chuẩn bị sản xuất vụ hè thu 2009, nhiều nông dân ĐBSCL đã rục rịch tìm lúa giống giống IR 50404 để gieo sạ. Theo cán bộ phụ trách nông nghiệp xã Đinh Hòa (huyện Lai Vung, Đồng Tháp), vụ đông xuân 2008 - 2009, trong khi nhiều nơi nông dân trồng giống IR 50404 chuyển sang trồng các giống lúa chất lượng cao, thì tại Đinh Hòa, IR 50404 vẫn chiếm xấp xỉ 80 - 90% diện tích. Với việc lúa IR 50404 đang có giá, việc vận động nông dân giảm bớt diện tích trồng lúa IR 50404 trong vụ hè thu 2009 e rằng rất khó khăn.
Không những thế, nhiều địa phương đang e ngại số nông dân đã chuyển đổi từ giống IR 50404 sang trồng lúa chất chất lượng cao sẽ quay trở lại với IR 50404. Hơn lúc nào hết, đây là thời điểm ngành NNPTNT các địa phương ĐBSCL cần khuyến cáo sâu rộng, hiệu quả để nông dân đừng quay trở lại trồng ồ ạt giống lúa IR 50404 như trong vụ đông xuân 2007 - 2008, hè thu 2008 và thu đông 2008.
Ngoài việc để đảm bảo tỉ lệ cơ cấu giống lúa thích hợp trên đồng ruộng nhằm phòng tránh sâu bệnh lây lan, việc không quay lại trồng ồ ạt giống lúa IR 50404 còn nhằm tránh khả năng tái diễn tình trạng lúa rớt giá, dội chợ như đã từng xảy ra với giống lúa này trong năm 2008!",https://agro.gov.vn/vn/tID13267_Dung-de-tai-dien.html,"Mấy ngày qua, nông dân ở ĐBSCL bán lúa IR 50404 được giá 4.200 - 4.300 đồng/kg; so với các giống lúa chất lượng cao, hạt dài (OM 4218, OMCS 2000) chỉ thấp hơn khoảng 100 đồng/kg."
2242,1,"ĐBSCL: LÚA TRÚNG MÙA, ĐƯỢC GIÁ",24 | 03 | 2009,"Tại An Giang, tính đến ngày 23-3 đã thu hoạch được 30.000/ 230.000ha. Giá lúa hiện dao động 4.300-4.800 đồng/kg, tăng 200 đồng/kg so với hồi đầu tháng 3-2009. Tại Đồng Tháp cũng thu hoạch trên 50.000ha, đạt 18% diện tích xuống giống.
Ông Dương Nghĩa Quốc - phó giám đốc Sở NN&PTNT Đồng Tháp - cho biết năng suất bình quân đạt 6,77 tấn/ha, do vụ đông xuân này tình hình dịch bệnh không đáng kể, chi phí sản xuất giảm nên nông dân có lãi khoảng 18 triệu đồng/ha. Dự kiến sản lượng lúa vụ đông xuân của tỉnh đạt 1,5 triệu tấn, trong đó lúa hàng hóa khoảng 900.000 tấn. Đến thời điểm này các doanh nghiệp kinh doanh lương thực trong tỉnh được giao hợp đồng xuất khẩu 105.000 tấn và đã thực hiện xuất khẩu 75.000 tấn.",https://agro.gov.vn/vn/tID13218_DBSCL-lu%CC%81a-trung-mua-duoc-gia-.html,"Theo ghi nhận tại các tỉnh ĐBSCL, hiện vụ lúa đông xuân đang vào kỳ thu hoạch rộ, với năng suất bình quân 6-7 tấn/ha."
2243,1,KHÔNG NÊN ĐỔ XÔ TRỒNG LÚA CẤP THẤP,25 | 03 | 2009,"Hiện nay các tỉnh ĐBSCL đang thu hoạch vụ lúa đông xuân và tiếp tục xuống giống vụ hè thu. Nhưng điều đáng lo ngại là diện tích lúa IR50404 tăng đột ngột trên 30% diện tích và có khả năng nhiều hơn nữa. Việc nông dân đổ xô trồng lúa cấp thấp là do vụ đông xuân vừa rồi đạt năng suất cao hơn, trong khi giá gần tương đương lúa hạt dài.
Theo TS Bảnh, sáu tháng đầu năm 2009 thị trường xuất khẩu gạo cấp thấp và trung bình có đầu ra. Tuy nhiên, trong sáu tháng cuối năm các doanh nghiệp chỉ ký hợp đồng xuất khẩu gạo chất lượng cao (gạo hạt dài). Do đó, nếu trồng lúa cấp thấp quá nhiều sẽ bị dư thừa, không bán được giống như hồi năm 2008. Còn với lúa thơm sẽ có nguy cơ xảy ra dịch hại cao do khả năng chống chịu sâu bệnh kém.",https://agro.gov.vn/vn/tID13229_Khong-nen-do-xo-trong-lua-cap-thap.html,"Ngày 24-3, TS Lê Văn Bảnh - viện trưởng Viện Lúa ĐBSCL - cho biết Bộ NN&PTNT vừa đưa ra khuyến cáo nông dân không nên đổ xô trồng lúa cấp thấp (IR50404, OM576) và lúa thơm. Từ vụ xuân hè và hè thu tới nên ưu tiên trồng lúa chất lượng cao với tỉ lệ 60-70% diện tích."
2244,1,THÁI LAN SẼ THÀNH LẬP CƠ QUAN GIÁM SÁT NHẬP KHẨU GẠO,25 | 03 | 2009,"Kế hoạch này nhằm ngăn chặn hoạt động nhập khẩu bất hợp pháp một số loại gạo giá rẻ từ các nước ASEAN, nhất là từ các nước láng giềng như Campuchia và Mianma, để hưởng lợi từ chương trình can thiệp (hỗ trợ giá thóc gạo) của Chính phủ Thái Lan.
Các nhà xuất khẩu gạo Thái Lan lo ngại việc áp biểu thuế 0% theo AFTA sẽ dẫn đến lượng gạo nhập vào Thái Lan tăng lên, ảnh hưởng trực tiếp đến nông dân trong nước. Cơ quan giám sát nhập khẩu gạo sẽ có quyền đề ra các quy định khắt khe hạn chế nhập khẩu gạo và giám sát tất cả các loại gạo nhập khẩu cũng như số lượng cần nhập, với gạo nhập khẩu sẽ chỉ được sử dụng làm nguyên liệu phục vụ ngành chế biến.
Một số nguồn tin ở Băng Cốc nói rằng Chính phủ Thái Lan cần thay đổi chính sách hiện hành hoặc ít nhất trong trường hợp phải áp dụng thì nên tính giá gạo thu mua ở mức vừa phải để không dẫn đến tình trạng bóp méo giá cả trên thị trường như hiện nay.",https://agro.gov.vn/vn/tID13245_Thai-Lan-se-thanh-lap-co-quan-giam-sat-nhap-khau-gao.html,Hiệp hội Xuất khẩu Gạo và Ủy ban Thương mại Thái Lan dự định sẽ đề xuất với Bộ Thương mại kế hoạch thành lập cơ quan giám sát hoạt động nhập khẩu gạo một khi tất cả các biểu thuế (xuất nhập khẩu) được dỡ bỏ theo Hiệp định thương mại tự do ASEAN (AFTA).
