,category,price,gov,market,intrinsic,extrinsic,News
160,1,2,1,0,0,0,"5 ĐỀ XUẤT DOANH NGHIỆP NGÀNH LÚA GẠO KIẾN NGHỊ KHẨN TỔ CÔNG TÁC ĐẶC BIỆT Tạo chính sách luồng xanh trong lưu thông lúa gạo đường thuỷ nội địa theo hai cung đường: cánh đồng về nhà máy, nhà máy đến các cảng logistic là 1 trong 5 kiến nghị khẩn của doanh nghiệp ngành hàng lúa gạo.
"
50,1,1,0,1,0,0,"VIỆT NAM NHẬP GẦN 1 TRIỆU TẤN GẠO: CẦN KIỂM SOÁT CHẶT Các doanh nghiệp cho rằng cơ quan chức năng cần kiểm soát chặt gạo cấp thấp nhập khẩu vào Việt Nam để tránh nguy cơ gian lận.
"
329,1,0,0,0,0,0,"TỪ 0H NGÀY 23/4, GẠO NẾP CHÍNH THỨC ĐƯỢC XUẤT KHẨU BÌNH THƯỜNG Số lượng thóc nếp, gạo nếp, tấm nếp xuất khẩu không tính trong hạn ngạch gạo xuất khẩu. Việc đăng kí tờ khai hải quan xuất khẩu được thực hiện từ 0 giờ ngày 23/4/2020.
"
128,1,2,0,0,2,0,"ĐẮK LẮK: HỘI THẢO TÌM GIẢI PHÁP NÂNG CAO GIÁ TRỊ LÚA GẠO VÙNG TÂY NGUYÊN Ngày 26/3, Sở Nông nghiệp và Phát triển Nông thôn, UBND huyện EaKar và Công ty Cổ phần XNK Nông sản Thiên Anh phối hợp tổ chức Hội thảo tìm giải pháp nâng cao giá trị lúa gạo vùng Tây Nguyên.
"
233,1,0,0,0,2,0,"LAN TỎA SẢN XUẤT LÚA SẠCH, CHUẨN GAP Ở ĐỒNG BẰNG SÔNG CỬU LONG ĐBSCL đang đẩy mạnh chương trình phát triển lúa gạo an toàn, đạt tiêu chuẩn VietGAP, GlobalGAP, gắn với liên kết tiêu thụ theo chuỗi giá trị.
"
334,1,0,0,0,0,0,"XUẤT KHẨU GẠO ẤN ĐỘ BỊ TRÌ HOÃN DO GIÁN ĐOẠN CHUỖI CÔNG NGHIỆP - CUNG ỨNG Xuất khẩu gạo Ấn Độ bị trì hoãn do gián đoạn chuỗi công nghiệp - cung ứng
"
164,1,2,3,0,0,1,"CHÍNH QUYỀN VÀ DOANH NGHIỆP CHUNG TAY KHÔNG ĐỂ ĐỨT GÃY CHUỖI NGÀNH HÀNG LÚA GẠO Trong bối cảnh dịch Covid-19 diễn biến phức tạp, bốn tỉnh khu vực ĐBSCL thống nhất việc hỗ trợ, tạo điều kiện thuận lợi cho nông dân, thương lái, công nhân, phương tiện trong sản xuất, thu hoạch, vận chuyển… để chuỗi ngành hàng lúa gạo không bị đứt gãy.
"
124,1,3,0,0,0,0,"GIÁ LÚA ĐỒNG BẰNG SÔNG CỬU LONG ĐỒNG LOẠT TĂNG Số liệu từ Hiệp hội Lương thực Việt Nam cho thấy, trong tuần qua, giá lúa gạo ở khu vực Đồng bằng sông Cửu Long đã đồng loạt tăng, sau 1 tuần chững lại trước đó.
"
260,1,3,0,3,0,1,"GẠO THÁI TĂNG GIÁ, TRONG KHI CÁC NHÀ XUẤT KHẨU ẤN ĐỘ ĐAU ĐẦU VÌ COVID-19 Giá gạo xuất khẩu của Thái Lan trong tuần này vì những cơn mưa trái mùa dấy lên lo ngại về nguồn cung, trong khi tình hình đại dịch COVID-19 ngày càng tồi tệ tại Ấn Độ gây ra nhiều vấn đề hậu cần cho các nhà xuất khẩu.
"
96,1,3,0,0,0,0,"SAU LÚA MỲ, GIÁ GẠO CÓ THỂ SẼ TĂNG VỌT TRÊN TOÀN CẦU Giá nhiều loại lương thực, thực phẩm đã tăng trong vài tháng qua. Gạo - một loại lương thực chính ở phần lớn châu Á - có thể là mặt hàng tiếp theo tăng giá.
"
229,1,1,0,1,0,0,"GẠO VIỆT RỚT GIÁ TUẦN QUA VÌ BẮT ĐẦU VỤ THU HOẠCH MỚI, PHILIPPINES DỪNG THU MUA Giá gạo xuất khẩu giảm tại các trung tâm xuất khẩu hàng đầu trong tuần này, với giá gạo Việt Nam kéo dài đà giảm vì Philippines ngừng mua và vụ thu hoạch mới bắt đầu gây thêm áp lực cho thị trường.
"
208,1,3,0,0,0,0,"DỰ KIẾN THÁNG 1/2021 GIÁ GẠO TIẾP TỤC GIỮ VỮNG Ở MỨC CAO Xuất khẩu gạo cả năm 2020 đạt 6,15 triệu tấn và 3,07 tỷ USD, giảm 3,5% về khối lượng nhưng tăng 9,3% về giá trị so với năm 2019 nhờ giá xuất khẩu tăng cao.
"
254,1,3,0,0,0,1,"KHÔNG CHỊU TÁC ĐỘNG DỊCH COVID-19, THẾ MẠNH SỐ 1 VIỆT NAM VẪN THU ĐÔ LA ĐỀU TAY Gạo là một trong số ít mặt hàng nông sản giữ được nhịp độ tăng trưởng xuất khẩu trong 7 tháng năm 2020. Trước những dự báo khá sáng sủa về thị trường, hiện, nông dân đồng bằng sông Cửu Long (ĐBSCL) đang tăng tốc sản xuất lúa thu đông với diện tích tăng thêm so với vụ trước khoảng 50.000ha.
"
81,1,1,2,0,0,0,"XUẤT KHẨU GẠO VIỆT NAM NHIỀU LẠC QUAN NHỜ HƯỞNG LỢI TỪ HIỆP ĐỊNH EVFTA Xuất khẩu gạo của Việt Nam hưởng nhiều lợi thế nhờ Hiệp định thương mại tự do Việt Nam - châu Âu (EVFTA) mang lại.
"
230,1,3,0,0,0,0,"126 TẤN GẠO THƠM GIỐNG JASMINE 85 LÊN ĐƯỜNG SANG EU 126 tấn gạo thơm giống Jasmine 85 được đóng gói theo quy cách 18 kg, sẽ lên đường sang thị trường châu Âu vào cuối tháng 9/2020.
"
35,0,0,0,0,0,0,"2 THÁNG ĐẦU NĂM 2023, XUẤT KHẨU GỖ VÀ SẢN PHẨM GỖ GIẢM 2 CON SỐ 2 tháng đầu năm 2023, xuất khẩu gỗ và sản phẩm gỗ ước đạt 1,6 tỷ USD, giảm 34,8% so với cùng kỳ năm 2022.
"
262,1,3,1,0,0,0,"EU ÁP THUẾ MỘT SỐ HÀNG HÓA CỦA CAMPUCHIA ƯỚC TÍNH 1 TỈ EUR Tổng giá trị ảnh hưởng sẽ chiếm 1/5 tổng lượng hàng xuất sang EU, tương đương 1 tỉ EUR hàng xuất khẩu hàng năm của Campuchia sang EU.
"
165,1,3,0,1,0,0,"MIỀN TÂY NGUY CƠ ĐỨT GÃY CHUỖI CUNG ỨNG LÚA GẠO Thương lái bỏ cọc, nông dân khó bán lúa, nhà máy chạy cầm chừng, doanh nghiệp ngại xuất khẩu gạo… đang đe doạ sự đứt gãy chuỗi cung ứng lúa gạo ở miền Tây.
"
161,1,0,0,0,0,0,"HÀN QUỐC MỞ THẦU MUA HƠN 42.000 TẤN GẠO Thời hạn doanh nghiệp đăng ký đấu thầu cung cấp gạo cho Hàn Quốc là trước 15h00 ngày 8/9/2021 (theo giờ Hàn Quốc).
"
264,1,1,0,3,0,1,"TRIỂN VỌNG XUẤT KHẨU GẠO THÁI TIẾP TỤC ẢM ĐẠM TRONG NỬA CUỐI NĂM 2020 Nhu cầu chậm lại trên thế giới do đại dịch COVID-19 khiến triển vọng xuất khẩu gạo Thái Lan không mấy sáng sủa trong nửa sau năm nay.
"
272,1,2,0,0,1,0,"ĐBSCL THU HOẠCH 184.000 HA LÚA HÈ THU SỚM, TĂNG 9,8% SO VỚI CÙNG KÌ NĂM 2019 Hiện nay, lúa hè thu ở các địa phương phía Bắc đang trong giai đoạn đẻ nhánh đến chắc xanh; ở các địa phương phía Nam đang vào giai đoạn đẻ nhánh, làm đòng đến trỗ chín, cây lúa sinh trưởng và phát triển tương đối tốt.
"
256,1,3,0,3,0,0,"TT LÚA GẠO CHÂU Á TUẦN 30/7-6/8: GIÁ GẠO VIỆT NAM CAO NHẤT 2 THÁNG, GẠO THÁI VỮNG Giá gạo xuất khẩu của Việt Nam tăng lên mức cao kỷ lục 2 tháng do nguồn cung ít đi, trong khi gạo Thái Lan vững giá do nội tệ mạnh lên mặc dù nhu cầu yếu.
"
5,1,2,3,2,0,0,"BỘ CÔNG THƯƠNG BAN HÀNH CHỈ THỊ VỀ XUẤT KHẨU GẠO VÀ BÌNH ỔN THỊ TRƯỜNG TRONG NƯỚC Chỉ thị mới của bộ Công Thương nhằm giúp công tác điều hành xuất khẩu gạo đảm bảo mục tiêu tiêu thụ thóc, gạo hàng hóa; cân đối xuất khẩu và tiêu dùng nội địa."
142,1,0,0,0,0,0,"KHUYẾN CÁO VỤ LÚA ĐÔNG XUÂN Ở ĐBSCL XUỐNG GIỐNG DỨT ĐIỂM THÁNG 12 Ngành chức năng khuyến cáo, các địa phương cần bố trí lịch thời vụ xuống giống tập trong các tháng 10 và 11, trễ lắm trong tháng 12 là phải dứt điểm.
"
122,1,3,0,3,0,0,"XUẤT KHẨU GẠO 2 THÁNG ĐẦU NĂM 2022 TĂNG MẠNH 2 tháng đầu năm 2022 lượng gạo xuất khẩu của cả nước đạt 974.556 tấn (tăng mạnh 48,6% so với 2 tháng đầu năm 2021), thu về gần 469,26 triệu USD (tăng 30,6%)
"
42,1,3,0,3,0,3,"GẠO VIỆT TỰ TIN CHINH PHỤC THẾ GIỚI Dự tính, trong tháng 12, Việt Nam sẽ xuất khẩu khoảng hơn 600.000 tấn gạo. Với đà này, năm 2022, xuất khẩu gạo nhiều khả năng đạt hơn 7 triệu tấn, trị giá gần 4 tỷ USD. Đây là con số ấn tượng trong bối cảnh kinh tế thế giới suy giảm, lạm phát kéo dài, cũng là minh chứng cho những nỗ lực, bứt phá của ngành nông sản Việt Nam nói chung, lúa gạo nói riêng.
"
308,1,0,1,0,0,0,"VỪA 'XÙ' KÍ HỢP ĐỒNG, LẠI TRÚNG THẦU GẠO DỰ TRỮ QUỐC GIA Một số doanh nghiệp từng “xù” kí hợp đồng gạo dự trữ quốc gia năm 2020 hồi tháng 3-2020 lại tiếp tục trúng thầu trong lần đấu thầu mới, theo thông báo hôm 18-5 của Tổng cục dự trữ Nhà nước.
"
226,1,3,0,0,2,0,"GẠO ST25 ĐẠT GIẢI NGON NHẤT VIỆT NAM, TIẾP TỤC DỰ ĐẤU TRƯỜNG QUỐC TẾ Sau khi đoạt giải gạo ngon nhất thế giới năm 2019, gạo ST25 vừa đạt giải Nhất ""Cuộc thi gạo ngon Việt Nam lần II' - năm 2020 và chuẩn bị tham dự Cuộc thi gạo ngon thế giới năm 2020 diễn ra tại Mỹ vào tháng 12 tới.
"
3,1,0,1,0,0,0,"GIỮ THƯƠNG HIỆU GẠO VIỆT GIỮA BIẾN ĐỘNG LƯƠNG THỰC TOÀN CẦU Bộ trưởng Bộ Công Thương Nguyễn Hồng Diên nhiều lần nhấn mạnh đến sự hợp tác giữa các bộ, ngành, doanh nghiệp, địa phương sao cho việc tổ chức sản xuất lúa gạo thông suốt qua các chuỗi giá trị bền vững."
304,1,0,0,0,0,0,"TOP 10 NƯỚC NHẬP KHẨU GẠO VIỆT NAM NHIỀU NHẤT 4 THÁNG ĐẦU NĂM 2020 Philippines luôn dẫn đầu về thị trường tiêu thụ gạo của Việt Nam, đạt trên 902 nghìn tấn, tương đương 401 triệu USD; tăng 10,8% về lượng, tăng 25,2% về kim ngạch so với 4 tháng đầu năm ngoái.
"
52,1,3,0,3,0,0,"GIÁ GẠO VIỆT TĂNG MẠNH, DỰ BÁO LẬP KỶ LỤC XUẤT KHẨU 4 TỶ USD Giá gạo xuất khẩu của Việt Nam tiếp tục tăng mạnh trong những ngày gần đây. Đặc biệt, trước nhu cầu lớn từ các thị trường vào dịp cuối năm, các doanh nghiệp Việt đang đầy ắp đơn hàng, dự báo xuất khẩu gạo cả năm có thể đạt hơn 7 triệu tấn với trị giá kỷ lục gần 4 tỷ USD.
"
174,1,0,0,0,0,0,"NHẬP GẠO ẤN ĐỘ TĂNG ĐỘT BIẾN, HỎA TỐC LẬP ĐOÀN KIỂM TRA 5 DOANH NGHIỆP Bộ Công Thương vừa lập đoàn công tác, kiểm tra việc thi hành pháp luật về xuất nhập khẩu gạo tại 5 doanh nghiệp xuất nhập khẩu gạo trong nước.
"
172,1,1,0,0,0,0,GIÁ LÚA MIỀN TÂY ĐỒNG LOẠT GIẢM GIÁ LÚA MIỀN TÂY ĐỒNG LOẠT GIẢM
